nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,
648,Mornington Crescent  ,Camden, ,6948,4709,12108,6023,3309,2002,4.531089,
649,Neasden   ,Brent, ,6097,4070,2866,5513,3718,2730,3.67247,
650,Newbury Park,Redbridge, ,7910,4933,3565,5898,3835,2848,4.327727,
653,North Acton ,Ealing, ,10256,6092,4294,9572,5458,3997,6.106253,
654,North Ealing,Ealing, ,1517,970,620,1340,880,627,0.892594,
789,North Greenwich      ,Greenwich, ,36889,35100,24951,40511,37282,26422,26.377071,
656,North Harrow,Harrow, ,3307,1653,1049,3219,1488,1043,1.937838,
659,North Wembley,Brent, ,3029,2037,1478,2781,1815,1344,1.836732,
655,Northfields ,Ealing, ,6714,4501,3087,6166,4160,3203,4.080122,
657,Northolt  ,Ealing, ,8191,5665,3846,7723,5081,3628,5.026,
660,Northwick Park       ,Brent, ,7776,3811,2697,7635,3434,2598,4.588128,
661,Northwood ,Hillingdon, ,4431,2412,1444,3752,2140,1416,2.475743,
662,Northwood Hills      ,Hillingdon, ,3163,1666,1047,2544,1397,941,1.720439,
663,Notting Hill Gate    ,Kensington and Chelsea, ,23840,27150,15372,22847,30427,16461,16.683962,
664,Oakwood   ,Enfield, ,4264,3630,2472,4347,3547,2458,2.842657,
665,Old Street,Islington, ,40998,25873,17251,39415,28716,15976,25.14351,
667,Osterley  ,Hounslow, ,3660,2736,1991,3685,2393,1826,2.350196,
668,Oval      ,Lambeth, ,11232,8216,5672,10603,7177,5237,6.968322,
669,Oxford Circus,City of Westminster, ,133573,119005,74755,144576,132125,76519,92.355623,
670,Paddington,City of Westminster, ,79872,50909,46066,75883,47801,40347,49.637302,
671,Park Royal,Ealing, ,3442,1899,1161,3222,1905,1137,2.019382,
672,Parsons Green,Hammersmith and Fulham, ,11469,7177,4297,10737,6414,4132,6.822161,
673,Perivale  ,Ealing, ,3917,2608,1715,3761,2455,1671,2.405584,
674,Piccadilly Circus    ,City of Westminster, ,60037,74203,47023,57820,74315,42063,42.796831,
776,Pimlico   ,City of Westminster, ,18980,11085,8497,17316,10181,8045,11.264698,
675,Pinner    ,Harrow, ,5276,2705,1643,5080,2505,1632,3.084213,
676,Plaistow  ,Newham, ,11204,8899,5572,10758,7518,5503,7.063495,
677,Preston Road,Brent, ,5626,3568,2670,5304,3306,2499,3.427709,
678,Putney Bridge,Hammersmith and Fulham, ,8947,6472,4238,9257,6217,4092,5.75691,
680,Queen's Park,Brent, ,9627,6586,4651,8538,5627,4515,5.771615,
679,Queensbury,Brent, ,7370,4652,3216,7203,4336,3071,4.525278,
681,Queensway ,City of Westminster, ,10680,11312,8920,10822,11220,8791,7.656619,
682,Ravenscourt Park     ,Hammersmith and Fulham, ,5268,3174,2074,5112,2944,2074,3.189008,
683,Rayners Lane,Harrow, ,7340,4425,3023,7332,4152,2992,4.512905,
684,Redbridge ,Redbridge, ,4841,3532,2402,4360,2968,2152,2.934539,
685,Regent's Park,City of Westminster, ,5487,2965,2175,5996,3791,2655,3.541481,
686,Richmond  ,Richmond,,13315,13506,6806,12519,12206,6555,8.661325,
687,Rickmansworth,Three Rivers, ,4335,1865,1143,4063,1716,1092,2.442771,
688,Roding Valley,Epping Forest,,517,208,110,385,172,105,0.260651,
690,Royal Oak ,City of Westminster, ,4205,2445,1776,3880,2198,1686,2.491199,
691,Ruislip   ,Hillingdon, ,3056,2090,1255,3044,2003,1236,1.903105,
692,Ruislip Gardens      ,Hillingdon, ,2066,1158,624,1610,959,605,1.112623,
693,Ruislip Manor,Hillingdon, ,3379,1998,1141,3231,1844,1126,2.005867,
694,Russell Square       ,Camden, ,20395,15737,12408,20198,15963,11499,13.328942,
698,Seven Sisters,Haringey, ,26984,23167,17114,25381,20755,16622,17.522713,
700,Shepherd's Bush (Cen),Hammersmith and Fulham, ,33927,32490,21495,31439,30394,20025,22.257246,
775,Shepherd's Bush (H&C),Hammersmith and Fulham, ,5720,4710,3124,4707,3549,2725,3.41259,
702,Sloane Square,Kensington and Chelsea, ,27121,21866,13011,26081,21205,12374,17.197513,
703,Snaresbrook ,Redbridge, ,4982,2589,1595,3853,2279,1559,2.674477,
704,South Ealing,Ealing, ,5837,4312,2874,5759,3960,2819,3.699819,
707,South Harrow,Harrow, ,4068,2809,1862,4115,2810,1892,2.583973,
708,South Kensington     ,Kensington and Chelsea, ,50469,44596,33912,49637,44196,32626,33.869744,
709,South Kenton,Brent,A,1778,1996,1154,1027,647,712,0.957195,
710,South Ruislip,Hillingdon, ,2941,1882,1181,2577,1741,1084,1.718085,
711,South Wimbledon      ,Merton, ,7730,4936,3299,6838,4626,3269,4.57044,
712,South Woodford       ,Redbridge, ,7552,5029,2752,9136,5782,3425,5.148679,
705,Southfields ,Wandsworth, ,10392,7412,4674,9109,6180,4366,6.173897,
706,Southgate ,Enfield, ,8623,6250,4070,8867,6098,4209,5.555527,
784,Southwark ,Southwark, ,31508,12263,8300,30503,12471,8017,17.937654,
695,St. James's Park     ,City of Westminster, ,29357,7928,5880,26864,7499,5511,15.698186,
696,St. John's Wood      ,City of Westminster, ,12600,7993,5766,12550,7971,5868,7.879484,
697,St. Paul's,City of London, ,29189,14853,10245,28868,14489,9368,17.371372,
713,Stamford Brook       ,Hammersmith and Fulham, ,4505,2981,1912,4151,2553,1787,2.695977,
714,Stanmore  ,Harrow, ,6196,4181,3619,6185,3816,3592,3.973686,
715,Stepney Green,Tower Hamlets, ,9916,6310,4349,8859,5243,4050,5.846372,
716,Stockwell ,Lambeth, ,19564,13483,9652,14824,11349,8835,11.082161,
717,Stonebridge Park     ,Brent, ,4551,2648,1193,4337,2433,1553,2.67489,
719,Stratford ,Newham, ,91067,100280,67894,82048,92440,61311,61.44263,
720,Sudbury Hill,Ealing, ,3489,2337,1486,3653,2236,1450,2.217946,
721,Sudbury Town,Brent, ,3635,2363,1584,3383,2024,1391,2.179203,
723,Swiss Cottage,Camden, ,12680,8608,5967,11717,7875,5580,7.71083,
724,Temple    ,City of Westminster, ,14693,6004,3611,15007,6564,3646,8.595799,
725,Theydon Bois,Epping Forest, ,1435,947,520,1331,861,512,0.854702,
726,Tooting Bec ,Wandsworth, ,12971,9811,6438,11659,8411,6352,7.933544,
727,Tooting Broadway     ,Wandsworth, ,24714,19312,13026,23886,17622,12764,15.737978,
728,Tottenham Court Road ,City of Westminster, ,26553,23003,14204,23245,17945,11586,16.2498,
729,Tottenham Hale       ,Haringey, ,19396,12807,11478,17984,11122,9757,11.954313,
730,Totteridge & Whetstone,Barnet, ,3990,2403,1520,3634,2075,1408,2.33448,
731,Tower Hill,Tower Hamlets, ,32210,28833,22060,33821,28906,19778,22.176713,
733,Tufnell Park,Islington,N,0,0,0,0,0,0,0,
734,Turnham Green,Hounslow, ,10146,7216,4838,10106,7099,4955,6.445923,
735,Turnpike Lane,Haringey, ,15937,14127,10236,16396,12961,10128,10.790301,
736,Upminster ,Havering,,8280,5296,2348,8887,4640,2410,5.140645,
737,Upminster Bridge     ,Havering, ,2109,693,245,2047,577,251,1.146772,
738,Upney     ,Barking and Dagenham, ,4766,2640,1472,4197,2218,1316,2.684747,
739,Upton Park,Newham, ,17808,14352,9745,16895,15139,8903,11.413623,
740,Uxbridge  ,Hillingdon, ,13705,8365,5200,13490,7708,5400,8.341531,
777,Vauxhall  ,Lambeth, ,43911,29420,22127,40403,26740,21656,26.834959,
741,Victoria  ,City of Westminster, ,123265,97694,77548,128474,95438,77583,82.88556,
742,Walthamstow Central  ,Waltham Forest, ,28757,21766,14843,27799,21069,15623,18.333582,
743,Wanstead  ,Redbridge, ,4635,3375,2189,4520,3056,2098,2.90356,
745,Warren Street,Camden, ,35076,14034,9702,33848,12980,8516,19.917362,
746,Warwick Avenue       ,City of Westminster, ,7327,5268,3751,6647,4748,3801,4.501822,
747,Waterloo  ,Lambeth,T,147259,103277,61006,158084,100706,62375,95.138374,
748,Watford   ,Watford, ,3166,1584,1073,2982,1571,1068,1.845823,
751,Wembley Central      ,Brent, ,8683,7027,4390,9230,7237,4358,5.789849,
752,Wembley Park,Brent, ,21679,19165,14310,21632,17812,13861,14.542576,
753,West Acton,Ealing, ,2769,2086,1427,2632,1885,1351,1.736847,
755,West Brompton,Kensington and Chelsea, ,8318,4631,2862,8845,4787,2841,5.168452,
756,West Finchley,Barnet, ,2742,1620,994,2563,1369,978,1.613941,
757,West Ham  ,Newham, ,5947,5261,3561,5426,4883,3383,3.814553,
758,West Hampstead       ,Camden, ,18346,12544,8869,16896,11064,8356,11.160117,
759,West Harrow ,Harrow, ,2189,1283,795,2133,1404,840,1.329655,
760,West Kensington      ,Hammersmith and Fulham, ,8456,6631,4560,8047,5555,4128,5.321523,
762,West Ruislip,Hillingdon, ,2523,2040,1101,2394,1749,994,1.564634,
754,Westbourne Park      ,City of Westminster, ,6864,4419,2643,5407,3372,2192,3.79496,
761,Westminster ,City of Westminster, ,37844,34976,26895,37388,33175,24578,25.614455,
764,White City,Hammersmith and Fulham, ,12436,6965,4398,13176,6684,4328,7.704418,
763,Whitechapel ,Tower Hamlets, ,19379,11758,6803,19021,11181,6660,11.702345,
765,Willesden Green      ,Brent, ,14170,11212,8107,13241,9696,7801,8.960771,
766,Willesden Junction   ,Brent,A,7419,5191,2908,7346,4709,2981,4.597796,
767,Wimbledon ,Merton,,25442,17142,10629,24227,17454,10831,15.631389,
768,Wimbledon Park       ,Merton, ,3293,2293,1378,2532,1572,1102,1.821025,
770,Wood Green,Haringey, ,20281,18092,12443,18982,16840,11950,13.18919,
599,Wood Lane ,Hammersmith and Fulham, ,5457,5186,1893,6077,4333,2943,3.698414,
769,Woodford  ,Redbridge, ,9637,6998,4270,9481,6445,4174,6.034086,
771,Woodside Park,Barnet, ,4795,2799,1717,4327,2877,1906,2.816775,
